,인기순위,이름,영문이름,종류,나라,생산지,제조사,포도품종,알코올도수,가격,평점,산도,당도,바디감,탄닌,주소,추천순위,구매가능여부
473,474,배티그 비노 비네도 샤르도네,BAETTIG VINO VINEDO CHARDONNAY,White,칠레,"칠레, 마에이코 밸리",BAETTIG WINE(VIA VINICA SPA),샤르도네 (CHARDONNAY) 100%,13.6,55000,4.0,3,0,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2602,38,구매 예약
474,475,아일린 하디 쉬라즈,EILEEN HARDY SHIRAZ,Red,호주,"남호주, 맥라렌 베일",ACCOLADE WINES / HARDY's,쉬라즈(Shiraz) 100%,14.0,180000,4.2,3,0,5,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2599,82,구매 예약
475,476,아일린 하디 샤르도네,EILEEN HARDY CHARDONNAY,White,호주,"야라 밸리, 타즈매니아",ACCOLADE WINES / HARDY's,샤르도네 100%,12.8,100000,3.8,3,0,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2598,83,구매 예약
476,477,우바 마트리스 몬페라토 비앙코 오로라,UVA MATRIS MONFERRATO BIANCO AURORA,White,이탈리아,이탈리아 피에몬테,,샤르도네(CHARDONNAY) 100%,13.5,22000,3.7,3,1,2,1,https://www.winenara.com/goods/goods_view.php?goodsNo=2597,39,구매 예약
477,478,우바 마트리스 몬페라토 로소 레뷸라,UVA MATRIS MONFERRATO ROSSO NEBULA,Red,이탈리아,이탈리아 피에몬테,,네비올로(NEBBIOLO) 100%,14.0,45000,3.8,3,1,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2596,40,구매 예약
478,479,우바 마트리스 바르베라 델 몬페라토 슈페리오레 사지타,UVA MATRIS BARBERA DEL MONFERRATO SUPERIORE SAGITTA,Red,이탈리아,이탈리아 피에몬테,,바르베라 (Barbera) 100%,14.0,29000,3.5,3,1,3,1,https://www.winenara.com/goods/goods_view.php?goodsNo=2595,41,구매 예약
479,480,리치텔리 데 라 카사 블랑코,RICCITELLI DE LA CASA BLANCO,White,아르헨티나,Mendoza / Uco Valley,리치텔리 (Matías Riccitelli),"소비뇽블랑 40%, 세미용 40%, 샤르도네 20%,",12.5,60000,3.9,4,1,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2579,338,구매 예약
480,481,양가라 루산,YANGARRA ROUSSANNE,White,호주,"남호주, 맥라렌 베일",잭슨 패밀리 와인,루산,14.5,60000,3.8,3,0,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2575,631,구매 예약
481,482,토마스 하디 카베르네 소비뇽,Thomas Hardy Cabernet Sauvignon,Red,호주,쿠나와라(Coonawarra),하디스 (Hardys),카베르네 소비뇽 (Cabernet Sauvignon) 100%,13.5,300000,3.8,4,0,5,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2564,217,구매 예약
482,483,에이 투 지 오레곤 피노누아,A TO Z OREGON PINOT NOIR,Red,미국,오레곤,에이 투 지 와인웍스,피노누아 100%,13.5,50000,3.6,4,1,3,2,https://www.winenara.com/goods/goods_view.php?goodsNo=2562,161,구매 예약
483,484,에이 투 지 오레곤 샤르도네,A TO Z OREGON CHARDONNAY,White,미국,오레곤,에이 투 지 와인웍스,샤르도네 100%,13.0,35000,3.6,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2560,163,구매 예약
484,485,이자디 라로사 로제,Izadi Larrosa Rosé,Rose,스페인,리오하,보데가스 이자디,가르나차 (Garnacha) 100%,13.5,42000,3.8,3,1,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2548,585,구매 불가
485,486,라 필라보아 1898,LA FILLABOA 1898,White,스페인,리아스 바이사스,"필라보아, 마사보 보데가스",알바리뇨 100%,13.0,150000,4.4,3,1,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2541,320,구매 불가
486,487,크루즈 토니 포트 10년,GRAN CRUZ 10 YEARS OLD TAWNY PORT,Red,기타 구대륙,두리엔세 (Duriense) / 포르토 (Porto),포르토 크루즈 (Porto Cruz),"또우리가 나시오날(Touriga Nacional), 또우리가 프랑카(Touriga Franca), 띤따 바호카(Tinta Barroca)",19.0,70000,3.7,1,4,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2538,256,구매 예약
487,488,하디스 스탬프 쉬라즈 카베르네,HARDYS STAMP SHIRAZ CABERNET,Red,호주,"호주, 리버랜드(Riverland)",하디스 (Hardys),쉬라즈 (Shiraz) & 카베르네 소비뇽 (Cabernet Sauvignon),13.5,14900,3.4,4,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2056,220,구매 예약
488,489,핀카 비야크레세스,FINCA VILLACRECES,Red,스페인,,핀카 비야크레세스 (Finca Villacreces),,14.0,105000,4.0,3,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2051,450,구매 예약
489,490,산 필리포 브루넬로 디 몬탈치노 레 루체레,SAN FILIPPO BRUNELLO DI MONTALCINO LE LUCERE,Red,이탈리아,몬탈치노,,산지오베제 그로쏘 100%,14.0,199000,4.3,3,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2050,227,구매 예약
490,491,산 필리포 브루넬로 디 몬탈치노,SAN FILIPPO BRUNELLO DI MONTALCINO,Red,이탈리아,몬탈치노,산 필리포,산지오베제 그로쏘 100%,14.5,220000,4.1,3,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2049,228,구매 불가
491,492,[미니와인] 블랙타워 화이트 미니,BLACK TOWER WHITE MINI,White,독일,유럽 커뮤니티,레 켄더만 바인켈러라이,템프라니요,10.0,4500,3.5,3,2,1,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2014,105,구매 예약
492,493,[미니와인]블랙타워 로제 미니,BLACK TOWER ROSE MINI,Rose,독일,유럽 커뮤니티,레 켄더만 바인켈러라이,템프라니요,9.0,6000,3.4,3,1,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2013,106,구매 예약
493,494,제나토 루가나 리제르바 세르지오 제나토,ZENATO LUGANA RISERVA SERGIO ZENATO,White,이탈리아,베네토,제나토,트레비아노 디 루가나,13.5,129000,4.2,4,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1941,205,구매 예약
494,495,도멘 디지오아 로이예 샹볼뮈지니 비에이 비뉴,DOMAINE DIGIOIA ROYER CHAMBOLLE MUSIGNY VIEILLES VIGNES,Red,프랑스,"부르고뉴, 샹볼 뮈지니",디지오아 로이예,피노 누아 100%,14.0,270000,4.0,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1919,141,구매 예약
495,496,도멘 디지오아 로이예 샹볼 뮈지니,DOMAINE DIGIOIA ROYER CHAMBOLLE MUSIGNY,Red,프랑스,"부르고뉴, 샹볼 뮈지니",디지오아 로이예,피노 누아 100%,14.0,225000,4.0,3,1,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1918,150,구매 예약
496,497,홀스 파워 하이 콘트레스트 시라,HORSE POWER HIGH CONTRAST VINEYARD SYRAH,Red,미국,"웰링턴, 왈라왈라",홀스 파워 빈야드,시라 100%,13.5,390000,4.0,4,1,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1898,243,구매 예약
497,498,홀스 파워 더 트라이브 빈야드 시라,HORSE POWER THE TRIBE VINEYARD SYRAH,Red,미국,웰링턴 왈라왈라,홀스 파워 빈야드,시라 100%,13.5,390000,4.1,4,1,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1897,253,구매 예약
498,499,프리마크 아비 시캐모어,FREEMARK ABBEY SYCAMORE,Red,미국,"나파 카운티, 러더포드",잭슨 패밀리 와인즈,"카베르네 소비뇽 83.1%, 메를로 5.2%, 카베르네 프랑 6.7%, 쁘띠 베르도 5%",14.5,370000,4.3,4,1,5,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1892,367,구매 예약
499,500,프루노토 로에로 아르네이스,PRUNOTTO ROERO ARNEIS,White,이탈리아,피에몬테,"프루노토, 안티노리",아르네이스 100%,13.0,35000,3.5,3,1,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1891,432,구매 불가
500,501,퓨레트 드 실렉스 크레망 드 루아르,PURETE DE SILEX CREMANT DE LOIRE,Sparkling,프랑스,루아르,샤또 갈리아르드,"슈냉 블랑 50%, 샤르도네 블랑 20%, 카베르네 프랑 20%",12.5,39000,3.6,2,1,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1888,448,구매 예약
501,502,펫저 플렛베드 레드,FETZER FLATBED RED,Red,미국,캘리포니아,펫저 / 콘차 이 토로,"진판델, 쁘띠 쉬라, 쁘띠 베르도",13.9,40000,3.5,3,1,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1887,454,구매 예약
502,503,티터 토터 샤르도네,TEETER TOTTER CHARDONNAY,White,미국,"캘리포니아, 나파 밸리",펫 맹 와인즈,샤르도네(CHARDONNAY) 100%,14.1,100000,4.1,3,0,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1882,491,구매 예약
503,504,토마레스카 샤르도네,TORMARESCA CHADONNAY,White,이탈리아,풀리아,토마레스카 / 안티노리,샤르도네 100%,12.5,25000,3.6,3,1,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1880,511,구매 예약
504,505,텔루스 시라,TELLUS SYRAH,Red,이탈리아,"라치오, 몬테 피아스코네","파밀리아 코타렐라, 팔레스코",시라 100%,13.6,29000,3.7,3,0,3,2,https://www.winenara.com/goods/goods_view.php?goodsNo=1878,532,구매 예약
505,506,카이유즈 엉 샹벌랭 빈야드 시라,CAYUSE CHAMBERLIN VINEYARD SYRAH,Red,미국,"웰링턴, 왈라왈라 밸리",카이유즈 빈야드,시라 100%,14.7,220000,4.4,4,1,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1875,555,구매 예약
506,507,이자디 블랑코,IZADI BLANCO,White,스페인,리오하,보데가스 이자디,"비우라 70%, 말바시아 10%, 템프라니요 블랑코 10%, 가르나차 블랑카 10%",13.5,35000,3.7,3,1,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1871,586,구매 예약
507,508,우르바노,URBANO,Red,스페인,까스티야 라 만차,,"템프라니요, 카베르네 소비뇽",12.5,18000,2.9,3,2,3,2,https://www.winenara.com/goods/goods_view.php?goodsNo=1869,608,구매 예약
508,509,오르넬라이아,ORNELLAIA,Red,이탈리아,"토스카나, 볼게리",오르넬라이아,"카베르네 소비뇽 51%, 메를로 27%, 카베르네 프랑 18%, 쁘띠 베르도 4%",14.5,500000,4.6,3,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1868,620,구매 예약
509,510,에스쿠도 로호 오리진,ESCUDO ROJO ORIGINE,Red,칠레,마이포 밸리,바롱 필립 드 로칠드 마이포 칠레,카베르네 소비뇽 100%,14.5,79000,4.0,3,1,5,5,https://www.winenara.com/goods/goods_view.php?goodsNo=1864,118,구매 예약
510,511,어니스트 레미 밀레짐 그랑크뤼,ERNEST REMY BRUT MILLESIME,Champagne,프랑스,그랑크뤼 메이 - 샴페인,어니스트 레미,피노 누아 100%,12.0,150000,4.1,4,0,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1861,153,구매 예약
511,512,양가라 PF 쉬라즈,YANGARRA PF SHIRAZ,Red,호주,"남호주, 맥라렌 베일",잭슨 패밀리 와인즈,쉬라즈 100%,13.0,70000,3.8,2,1,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1860,171,구매 예약
512,513,알파박스 앤 다이스 블러드 오브 쥬피터,BLOOD OF JUPITER,Red,호주,맥라렌 베일,알파 박스 & 다이스,"산지오 베제 79%, 카베르네 소비뇽 21%",14.5,49000,4.2,3,1,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1858,201,구매 예약
513,514,알파박스 앤 다이스 골든 멀렛 퓨리,GOLDEN MULLET FURY,White,호주,"남호주, 맥라렌 베일",알파 박스 & 다이스,"세미용 70%, 비오니에 30%",13.7,39000,3.7,3,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1856,235,구매 예약
514,515,센테니얼,CENTENNIAL,Red,미국,"캘리포니아, 로다이",레인지 트윈스,진판델 100%,15.6,150000,4.2,3,1,5,2,https://www.winenara.com/goods/goods_view.php?goodsNo=1849,363,구매 예약
515,516,샤또 푸르카스 보리,CHATEAU FOURCAS BORIE,Red,프랑스,"보르도, 리스트락 메독",샤또 뒤크리 보카이유,"메를로 85~90%, 쁘띠 베르도 10~15%",13.5,45000,3.8,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1848,371,구매 예약
516,517,본테라 버틀러,BONTERRA THE BUTLER,Red,미국,"캘리포니아, 멘도치노 카운티",본테라 / 콘차 이 토로,"시라 78%, 그르나슈 11%, 쁘띠 시라 9%, 무르베드르 2%",15.0,180000,4.1,3,1,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1835,523,구매 예약
517,518,본테라 맥냅,BONTERRA THE MC NAB,Red,미국,"캘리포니아, 멘도치노 카운티",본테라 / 콘차 이 토로,"메를로 74%, 카베르네 소비뇽 17%, 말벡 5%, 쁘띠 시라 3%, 카베르네 프랑 1%",14.0,180000,4.0,3,1,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1834,534,구매 예약
518,519,[매그넘]보타 박스 카베르네 소비뇽,BOTA BOX CABERNET SAUVIGNON,Red,미국,캘리포니아,델리카토 패밀리,카베르네 소비뇽(Cabernet Sauvignon) 100%,13.5,55000,3.3,3,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1832,550,구매 불가
519,520,[더블매그넘]보타 박스 모스카토,BOTA BOX MOSCATO,White,미국,캘리포니아,델리카토 패밀리,모스카토 100%,10.5,59000,3.2,3,4,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1830,563,구매 예약
520,521,베리테 르 데지르,VERITE LE DESIR,Red,미국,"캘리포니아, 소노마 카운티",잭슨 패밀리 와인즈,"카베르네 프랑 64%, 메를로 24%, 카베르네 소비뇽 8%, 말벡 4%",14.5,1000000,4.5,4,1,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1829,569,구매 불가
521,522,베리테 라 쥬아,VERITE LA JOIE,Red,미국,"캘리포니아, 소노마 카운티",잭슨 패밀리 와인즈,"카베르네 소비뇽 76%, 메를로 12%, 카베르네 프랑 8%, 쁘띠 베르도 4%",14.5,1000000,4.6,4,1,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1828,579,구매 불가
522,523,베리테 라 뮤즈,VERITE LA MUSE,Red,미국,"캘리포니아, 소노마 카운티",잭슨 패밀리 와인즈,"메를로 85%, 카베르네 프랑 11%, 말벡 4%",14.5,800000,4.5,4,1,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1827,587,구매 불가
523,524,버톨리 키안티,BERTOLI CHIANTI,Red,이탈리아,"토스카나, 키안티",프리텔리 버톨리,"산지오베제 85%, 카나이올로 10%, 실리에지올로 5%",12.0,15000,3.4,3,1,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1826,600,구매 예약
524,525,몬티아노,MONTIANO,Red,이탈리아,"라치오, 몬테 피아스코네, 카스틸리오네 인 테베리나","파밀리아 코타렐라, 코타렐라",메를로 100%,14.5,150000,4.1,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1822,645,구매 예약
525,526,마르케제 안티노리 사텐,MARCHESE ANTINORI DONNA CORA SATEN,Sparkling,이탈리아,"롱바르디아, 프란치아코르타",안티노리 몬테리자,샤르도네 100%,12.5,64000,4.0,4,1,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1817,156,구매 불가
526,527,마니에테스,MANYETES,Red,스페인,"프리오라트, 카탈루니아",끌로 모가도르,카리냥 100%,15.5,270000,4.3,4,1,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1815,180,구매 예약
527,528,르 마치오체 브루넬로 디 몬탈치노 리제르바,LE MACIOCHE BRUNELLO DI MONTALCINO RISERVA,Red,이탈리아,몬탈치노,파밀리아 코타렐라,산지오베제 100%,14.5,240000,4.3,4,1,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1814,203,구매 예약
528,529,르 마치오체 브루넬로 디 몬탈치노,LE MACIOCHE BRUNELLO DI MONTALCINO,Red,이탈리아,몬탈치노,파밀리아 코타렐라,산지오베제 100%,14.5,180000,4.2,3,1,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1813,230,구매 예약
529,530,루체 델라 비테 루첸테,LUCE DELLA VITE LUENTE,Red,이탈리아,"토스카나, 몬탈치노",루체 델라 비테,"메를로 75%, 산지오베제 25%",14.5,100000,4.0,4,1,5,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1812,239,구매 예약
530,531,"루체 델라 비테, 브루넬로 디 몬탈치노",LUCE DELLA VITE BRUNELLO DI MONTALCINO,Red,이탈리아,"토스카나, 몬탈치노",루체 델라 비테,산지오베제 100%,15.5,300000,4.4,4,1,5,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1811,247,구매 불가
531,532,라스 피자라스 피노 누아,LAS PIZARRAS PINOT NOIR,Red,칠레,아콩카구아 밸리,비냐 에라주리즈,피노 누아 100%,13.5,250000,4.1,4,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1809,311,구매 예약
532,533,라 마스코타 카베르네 소비뇽,LA MASCOTA CABERNET SAUVIGNON,Red,아르헨티나,멘도자 (Mendoza),페나플로,카베르네 소비뇽 100%,14.0,30000,3.8,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1807,342,구매 예약
533,534,끌로 씨프레스,CLOS CYPRES,Red,스페인,DOCa 프리오라트,코스테르 델 프리오라트,까리냥 100%,14.5,120000,4.2,3,1,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1800,462,구매 불가
534,535,루이 라뚜르 에세죠 그랑 크뤼,LOUIS LATOUR ECHEZEAUX GRAND CRU,Red,프랑스,"부르고뉴, 꼬뜨 드 뉘, 본 로마네",루이 라뚜르,피노 누아 100%,14.0,1000000,4.3,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1794,505,구매 불가
535,536,루이 라뚜르 샤름 샹베르땡 그랑 크뤼,LOUIS LATOUR CHARMES-CHAMBERTIN GRAND CRU,Red,프랑스,"부르고뉴, 꼬뜨 드 뉘, 제브리 샹베르땡",루이 라뚜르,피노 누아 100%,14.0,1000000,4.2,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1793,516,구매 불가
536,537,루이 라뚜르 풀리니 몽라쉐,LOUIS LATOUR PULIGNY-MONTRACHET,White,프랑스,"부르고뉴, 꼬뜨 드 본, 풀리니 몽라쉐",루이 라뚜르,샤르도네 100%,13.5,200000,4.2,3,0,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1792,524,구매 불가
537,538,루이 라뚜르 볼네 1등급 레 미땅,LOUIS LATOUR VOLNAY 1ER CRU LES MITANS,Red,프랑스,"부르고뉴, 볼네",루이 라뚜르,피노 누아 100%,13.5,250000,4.1,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1790,541,구매 불가
538,539,루이 라뚜르 본 로마네 레 프티 몽,LOUIS LATOUR VOSNE ROMANEE LES PETITS MONTS,Red,프랑스,"부르고뉴, 꼬뜨 드 뉘, 본 로마네 프리미에 크뤼",루이 라뚜르,피노 누아 100%,13.5,350000,4.0,3,0,2,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1789,546,구매 불가
539,540,루이 라뚜르 바따르 몽라쉐 그랑 크뤼,LOUIS LATOUR BATARD-MONTRACHET GRAND CRU,White,프랑스,"부르고뉴, 꼬뜨 드 본",루이 라뚜르,샤르도네 100%,13.0,880000,4.3,3,0,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1787,561,구매 불가
540,541,루이 라뚜르 마콩 샤므르와,LOUIS LATOUR MACON CHAMEROY,White,프랑스,"부르고뉴, 마코네, 마콩",,샤르도네 100%,13.0,36000,3.7,3,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1785,576,구매 예약
541,542,루이 라뚜르 끌로 부조 그랑 크뤼,LOUIS LATOUR CLOS VOUGEOT GRAND CRU,Red,프랑스,"부르고뉴, 꼬뜨 드 뉘, 부조",루이 라뚜르,피노 누아 100%,14.0,700000,4.3,4,1,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1783,590,구매 불가
542,543,루이 라뚜르 그랑 아데슈 샤르도네,LOUIS LATOUR GRAND ARDECHE CHARDONNAY,White,프랑스,"론, 아데슈",루이 라뚜르,샤르도네 100%,13.0,50000,3.9,3,1,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1781,610,구매 불가
543,544,마셋 쉬라 레세르바,MASET SYRAH RESERVA,Red,스페인,카탈루냐 DO,마셋,쉬라 100%,14.0,45000,3.9,3,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1780,640,구매 예약
544,545,락베어 아들레이드 힐 샤르도네,ROCKBARE ADELAIDE HILLS CHARDONNAY,White,호주,"남호주, 아들레이드 힐",잭슨 패밀리 와인즈,샤르도네 100%,12.5,49000,3.6,4,0,5,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1768,244,구매 예약
545,546,수산나 발보 시그니처 말벡,SUSANA BALBO SIGNATURE MALBEC,Red,아르헨티나,"멘도자, 알타미라",수산나 발보,말벡 100%,14.0,62000,4.0,3,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1765,319,구매 예약
546,547,수산나 발보 브리오소,SUSANA BALBO BRIOSO,Red,아르헨티나,"멘도자, 루한 데 쿠요",수산나 발보,"카베르네 소비뇽, 카베르네 프랑, 말벡, 쁘띠 베르도",14.0,99000,4.2,3,0,5,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1764,326,구매 예약
547,548,수산나 발보 노소트로스,SUSANA BALBO NOSOTROS,Red,아르헨티나,"멘도자, 알타미라",수산나 발보,말벡 100%,14.5,270000,4.6,4,0,5,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1763,343,구매 예약
548,549,브레머튼 월터스 리저브 카베르네 소비뇽,BREMERTON WALTER'S RESERVE CABERNET SAUVIGNON,Red,호주,랑혼,브레머튼 와인즈,카베르네 소비뇽 100%,15.0,75000,4.3,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1712,552,구매 예약
549,550,브레머튼 올드 아담 쉬라즈,BREMERTON OLD ADAM SHIRAZ,Red,호주,랑혼,브레머튼 와인즈,쉬라즈 100%,15.0,80000,4.3,3,0,5,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1711,559,구매 불가
550,551,브레머튼 셀커크 쉬라즈,BREMERTON SELKIRK SHIRAZ,Red,호주,랑혼,브레머튼 와인즈,쉬라즈 100%,14.5,36000,3.9,2,1,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1710,566,구매 예약
551,552,도멘 베르타냐 부조 프리미에 크뤼 레 프티 부조,DOMAINE BERTAGNA VOUGEOT PREMIER CRU LES PETITS VOUGEOTS,Red,프랑스,"부르고뉴, 꼬뜨 드 뉘, 부조",도멘 베르타냐,피노 누아 100%,13.0,230000,4.2,4,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1671,178,구매 불가
552,553,도멘 베르타냐 부조 프리미에 크뤼 레 크라,DOMAINE BERTAGNA VOUGEOT PREMIER CRU LES CRAS,Red,프랑스,"부르고뉴, 꼬뜨 드 뉘, 부조",도멘 베르타냐,피노 누아 100%,13.0,240000,4.1,4,0,3,2,https://www.winenara.com/goods/goods_view.php?goodsNo=1670,183,구매 불가
553,554,도멘 베르타냐 부조 프리미에 크뤼 레 크라 블랑,DOMAINE BERTAGNA VOUGEOT PREMIER CRU LES CRAS BLANC,White,프랑스,"부르고뉴, 꼬뜨 드 뉘, 부조",도멘 베르타냐,샤르도네 100%,13.5,270000,4.3,4,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1669,221,구매 예약
554,555,도멘 베르타냐 본 로마네 프리미에 크뤼 레 보몽,DOMAINE BERTAGNA VOSNE ROMANEE PREMIER CRU LES BEAUX MONT,Red,프랑스,"부르고뉴, 꼬뜨 드 뉘, 본 로마네",도멘 베르타냐,피노 누아 100%,13.0,260000,4.2,4,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1666,251,구매 불가
555,556,도멘 베르타냐 뉘 생 조르쥬 프리미에 크뤼 레 뮈르제,DOMAINE BERTAGNA NUITS SAINT GEORGES PREMIER CRU LES MURGES,Red,프랑스,"부르고뉴, 꼬뜨 드 뉘, 뉘 생 조르쥬",도멘 베르타냐,피노 누아 100%,13.0,260000,4.1,4,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1665,261,구매 예약
556,557,도멘 베르타냐 끌로 생 드니 그랑 크뤼,DOMAINE BERTAGNA CLOS ST. DENIS GRAND CRU,Red,프랑스,"부르고뉴, 꼬뜨 드뉘, 모레 생 드니, 끌로 생 드니",도멘 베르타냐,피노 누아 100%,13.0,450000,4.4,4,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1664,266,구매 불가
557,558,도멘 베르타냐 끌로 드 부조 그랑크뤼,DOMAINE BERTAGNA CLOS DE VOUGEOT GRAND CRU,Red,프랑스,"부르고뉴, 꼬뜨 드 뉘, 부조",도멘 베르타냐,피노누아 100%,13.0,520000,4.3,4,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1663,312,구매 불가
558,559,산타 아나 리저브 말벡,SANTA ANA RESERVE MALBEC,Red,아르헨티나,멘도자 (Mendoza),보데가 산타 아나(Bodegas Santa Ana),말벡 (Malbec) 100%,13.5,22000,3.6,2,1,3,1,https://www.winenara.com/goods/goods_view.php?goodsNo=1651,646,구매 예약
559,560,에스쿠도 로호 리제르바 소비뇽 블랑,ESCUDO ROJO RESERVA SAUVIGNON BLANC,White,칠레,카사블랑카 밸리,바롱필립 드 로칠드 칠레,소비뇽 블랑 100%,13.5,34000,3.6,4,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1646,250,구매 예약
560,561,알파카 카르메네르,ALPACA CARMENERE,Red,칠레,센트럴 밸리,VSPT,"카르메네르(Carmenere) 85%, 시라(Syrah) 15%",13.2,15000,3.1,3,0,3,2,https://www.winenara.com/goods/goods_view.php?goodsNo=1643,438,구매 예약
561,562,알파카 카베르네 메를로,ALPACA CABERNET MERLOT,Red,칠레,센트럴 밸리,VSPT,"카베르네 소비뇽(Cabernet Sauvignon) 70%, 메를로(Merlot) 30%",13.0,9900,2.8,3,0,3,2,https://www.winenara.com/goods/goods_view.php?goodsNo=1641,466,구매 예약
562,563,디안느 소비뇽 블랑,DIANE,White,프랑스,보르도,앙드레 뤼통 (Andre Lurton),소비뇽 블랑 100%,13.0,45000,3.8,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1637,539,구매 불가
563,564,헤리티지,HERITAGE,Red,프랑스,"보르도, 뤼삭 생떼밀리옹",앙드레 뤼통 (Andre Lurton),"메를로(Merlot) 65%, 카베르네 프랑(Cabernet Franc) 25%, 카베르네 소비뇽(Cabernet Sauvignon) 10%",13.0,70000,3.6,3,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1636,553,구매 불가
564,565,샴페인 팔머 아마존 드 팔머,CHAMPAGNE PALMER AMAZONE DE PALMER,Champagne,프랑스,"상파뉴, 몽따뉴 드 랭스(Montagne de Reims) 그랑 크뤼 & 프리미에 크뤼",샴페인 팔머 (Champagne Palmer & Co),"샤르도네 (Chardonnay) 50%, ,피노 누아 (Pinot Noir) 50%",12.0,400000,4.2,3,1,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1630,652,구매 예약
